타임스탬프,현재 전공을 선택하기 위해 어떤 방법으로 정보를 수집하고 있나요? (복수 선택 가능),"현재 학교에서 제공하는 전공 탐색 정보나 지원 제도 (설명회, 멘토링 등)에 만족하시나요?",현재 어떤 기준으로 전공을 선택하였나요? (복수 선택 가능),현재 전공 탐색 과정에서 어려운 점이 있다면 무엇인가요? (복수 선택 가능),전공 적합성 탐색을 위해 직접 강의를 수강해본 경험이 있나요?,만약 있다면 해당 강의를 수강한 뒤 내가 원하지 않거나 나와 맞지 않는 전공이라는 것을 깨달은 경험이 있나요?,내가 원하지 않거나 나와 맞지 않는다는 것을 깨달은 경험이 있다면 어떤 식의 문제인가요? (복수 선택 가능),"전공탐색을 위해 강의를 듣고나서 기회비용에(시간, 학점 낭비 등)에 대한 부담을 느낀 적이 있나요?",전공 탐색을 위해 어떤 정보를 가장 얻고 싶나요? (복수 선택 가능),시간과 장소에 구애받지 않고 전공 탐색을 도와주는 생성형 AI 가이드 서비스가 있다면 사용해보고 싶나요?,현재 제공되는 전공 탐색 정보나 지원 제도에 대한 자유로운 의견과  전공 탐색을 도와주는 생성형 AI 가이드 서비스에 대한 자유로운 의견을 적어주시면 감사하겠습니다!
2025. 5. 14 오전 10:04:14,학교 홈페이지 탐색,2,취업 전망이 좋아보여서,나에게 잘 맞는 전공을 찾기 어렵다,아니오,해당 x,해당 x,예,"전공별 졸업 후 진로/취업 정보, 전공별 졸업 요건 및 커리큘럼 정보, 전공별 대표 강의 소개, 전공별 교수진 소개 및 연구 분야, 전공 선택 후 활동 사례 (동아리, 프로젝트 등)",4,
2025. 5. 14 오전 10:05:32,학교 홈페이지 탐색,3,"흥미/관심 있는 분야라서, 취업 전망이 좋아보여서","나에게 잘 맞는 전공을 찾기 어렵다, 전공 정보를 찾기 어렵다",예,예,"수업 내용이 너무 어렵거나 흥미가 없었음, 전공 수업이 내 적성과 맞지 않다고 느꼈음",아니오,"전공별 핵심 개요와 차이점, 전공별 졸업 후 진로/취업 정보, 전공별 대표 강의 소개, 전공별 학생들의 실제 후기 및 추천 이유, 나의 관심사/성향에 맞는 전공 추천, 전공 학생들의 학과 생활 및 분위기",3,
2025. 5. 14 오전 10:07:52,선배/지인/멘토에게 질문,4,취업 전망이 좋아보여서,"전공별 차이점을 잘 모르겠다, 전공 정보를 찾기 어렵다, 누구에게 물어봐야 할지 모르겠다",아니오,해당 x,해당 x,아니오,"전공별 핵심 개요와 차이점, 전공별 졸업 후 진로/취업 정보, 전공별 졸업 요건 및 커리큘럼 정보, 전공별 대표 강의 소개, 전공별 학생들의 실제 후기 및 추천 이유",5,
2025. 5. 14 오전 10:32:16,"전공 설명회 참석, 선배/지인/멘토에게 질문",4,"취업 전망이 좋아보여서, 부모님/지인/선배의 추천, 졸업 후 진로(직업)을 고려해서",나에게 잘 맞는 전공을 찾기 어렵다,예,아니오,해당 x,아니오,"전공 수업의 수업 방식 (토론/실습/이론 중심 등), 전동 선택 시 필요한 역량이나 적성, 타전공과의 연계 가능성 (복수전공, 부전공 등)",4,
2025. 5. 14 오전 10:32:54,"학교 홈페이지 탐색, 선배/지인/멘토에게 질문",4,"흥미/관심 있는 분야라서, 졸업 후 진로(직업)을 고려해서","전공별 차이점을 잘 모르겠다, 전공 정보를 찾기 어렵다, 누구에게 물어봐야 할지 모르겠다",예,아니오,해당 x,아니오,"전공별 핵심 개요와 차이점, 전공별 졸업 후 진로/취업 정보, 전공별 졸업 요건 및 커리큘럼 정보, 전공별 학생들의 실제 후기 및 추천 이유, 나의 관심사/성향에 맞는 전공 추천, 전공별 교수진 소개 및 연구 분야, 전공 학생들의 학과 생활 및 분위기, 전공 선택 후 활동 사례 (동아리, 프로젝트 등)",5,
2025. 5. 14 오전 10:35:24,"전공 설명회 참석, 학교 홈페이지 탐색, 선배/지인/멘토에게 질문",3,"흥미/관심 있는 분야라서, 졸업 후 진로(직업)을 고려해서, 내가 잘 할 수 있을 것 같아서","여러 멘토를 만날 기회가 부족합니다. 예를 들어 1학기에 수학과를 선택했다면, 수학과 멘토만 배정되고, 2순위 3순위로 생각하고 있는 분반의 멘토는 만날기회가 별로없음.",예,아니오,해당 x,아니오,"전공별 졸업 요건 및 커리큘럼 정보, 전공별 대표 강의 소개, 전공별 학생들의 실제 후기 및 추천 이유, 나의 관심사/성향에 맞는 전공 추천, 전공별 교수진 소개 및 연구 분야, 전공 학생들의 학과 생활 및 분위기, 타전공과의 연계 가능성 (복수전공, 부전공 등)",5,
2025. 5. 14 오전 10:37:32,"학교 홈페이지 탐색, 선배/지인/멘토에게 질문",4,흥미/관심 있는 분야라서,"나에게 잘 맞는 전공을 찾기 어렵다, 전공 정보를 찾기 어렵다, 누구에게 물어봐야 할지 모르겠다",예,예,"내가 기대했던 것과 전혀 다른 내용을 배웠음, 전공 수업이 내 적성과 맞지 않다고 느꼈음, 전공 관련 진로가 나에게 매력적이지 않다고 느꼈음, 나만의 학습 방식이나 가치관과 맞지 않았음",예,"전공별 핵심 개요와 차이점, 전공별 졸업 후 진로/취업 정보, 전공별 졸업 요건 및 커리큘럼 정보, 전공별 대표 강의 소개, 전공별 학생들의 실제 후기 및 추천 이유, 나의 관심사/성향에 맞는 전공 추천, 전공별 교수진 소개 및 연구 분야",5,
2025. 5. 14 오전 10:38:15,"전공 설명회 참석, 선배/지인/멘토에게 질문",4,"흥미/관심 있는 분야라서, 내가 잘 할 수 있을 것 같아서","나에게 잘 맞는 전공을 찾기 어렵다, 누구에게 물어봐야 할지 모르겠다",예,아니오,해당 x,아니오,"전공별 졸업 후 진로/취업 정보, 전공별 학생들의 실제 후기 및 추천 이유, 나의 관심사/성향에 맞는 전공 추천, 전공별 교수진 소개 및 연구 분야",4,
2025. 5. 14 오전 11:02:16,선배/지인/멘토에게 질문,4,취업 전망이 좋아보여서,"나에게 잘 맞는 전공을 찾기 어렵다, 전공 정보를 찾기 어렵다",아니오,해당 x,"내가 기대했던 것과 전혀 다른 내용을 배웠음, 전공 수업이 내 적성과 맞지 않다고 느꼈음",예,"전공별 핵심 개요와 차이점, 전공별 졸업 후 진로/취업 정보, 전공별 교수진 소개 및 연구 분야",5,
2025. 5. 14 오전 11:39:31,학교 홈페이지 탐색,2,"흥미/관심 있는 분야라서, 부모님/지인/선배의 추천","나에게 잘 맞는 전공을 찾기 어렵다, 전공 정보를 찾기 어렵다",아니오,예,"내가 기대했던 것과 전혀 다른 내용을 배웠음, 전공 수업이 내 적성과 맞지 않다고 느꼈음",예,"전공별 졸업 후 진로/취업 정보, 전공별 졸업 요건 및 커리큘럼 정보, 전공별 대표 강의 소개, 전공별 학생들의 실제 후기 및 추천 이유, 전동 선택 시 필요한 역량이나 적성, 전공 학생들의 학과 생활 및 분위기",4,
